Torneio,Temporada,Equipe,Nome,Slug,Short Name,Gender,Sport,Category,Tournament,Manager,Venue,Foundation Date,ID,Country,Full Name,Team Colors
CAF Champions League,CAF Champions League 23/24,Tout Puissant Mazembe,Tout Puissant Mazembe,tout-puissant-mazembe,TP Mazembe,M,Football,DR Congo,Vodacom Ligue 1,Lamine N'Diaye,TP Mazembe Stadium,1931-11-30 00:00:00,38873,DR Congo,Tout Puissant Mazembe,#ffffff
CAF Champions League,CAF Champions League 22/23,Wydad AC,Wydad AC,wydad-ac,WAC,M,Football,Morocco,Botola,Adil Ramzi,Stade Mohammed V,1937-05-08 00:00:00,36268,Morocco,Wydad AC,#ff0000
CAF Champions League,CAF Champions League 22/23,JS Kabylie,JS Kabylie,js-kabylie,Kabylie,M,Football,Algeria,Ligue 1,Rui Almeida,Stade 1er Novembre 1954,1946-08-02 00:00:00,42202,Algeria,JS Kabylie,#ffff00
CAF Champions League,CAF Champions League 22/23,Atlético Petroleos de Luanda,Atlético Petroleos de Luanda,atletico-petroleos-de-luanda,Petro de Luanda,M,Football,Angola,Girabola,Alexandre Santos,Estadio 11 de Novembro,,148072,Angola,Atlético Petroleos de Luanda,#fff58c
CAF Champions League,CAF Champions League 22/23,Vita Club,Vita Club,vita-club,Vita Club,M,Football,DR Congo,Vodacom Ligue 1,Raoul Shungu,,1935-02-07 00:00:00,134278,DR Congo,Vita Club,#40c050
CAF Champions League,CAF Champions League 21/22,Al Ahly FC,Al Ahly FC,al-ahly-fc,Al Ahly,M,Football,Egypt,Premier League,Marcel Koller,Cairo International Stadium,1907-04-24 00:00:00,6910,Egypt,Al Ahly FC,#cc0000
CAF Champions League,CAF Champions League 21/22,Al-Hilal Omdurman,Al-Hilal Omdurman,al-hilal-omdurman,Al-Hilal,M,Football,International Clubs,"CAF Champions League, Group B",Florent Ibengé,The Blue Jewel,1930-02-13 00:00:00,69322,Sudan,Al-Hilal Omdurman,#0000ff
CAF Champions League,CAF Champions League 21/22,Al-Merrikh,Al-Merrikh,al-merrikh,Al-Merrikh,M,Football,World,"CAF Champions League, Group A",Osama Nabih,Al Merrikh Stadium,1927-11-14 00:00:00,69320,Sudan,Al-Merrikh,#bd293b
CAF Champions League,CAF Champions League 20/21,Simba SC,Simba SC,simba-sc,Simba,M,Football,Tanzania,Premier League,Robertinho,Benjamin Mkapa Stadium,1936-01-01 00:00:00,212409,Tanzania,Simba SC,#ff0000
CAF Champions League,CAF Champions League 19/20,Zamalek SC,Zamalek SC,zamalek-sc,Zamalek,M,Football,Egypt,Premier League,,Cairo International Stadium,1911-01-05 00:00:00,42368,Egypt,Zamalek SC,#ffffff
CAF Champions League,CAF Champions League 19/20,Primeiro de Agosto,Primeiro de Agosto,primeiro-de-agosto,1° de Agosto,M,Football,Angola,Girabola,,Estadio 11 de Novembro,1977-08-01 00:00:00,134318,Angola,Primeiro de Agosto,#ec0000
CAF Champions League,CAF Champions League 19/20,ZESCO United,ZESCO United,zesco-united,ZESCO Utd,M,Football,Zambia,Super League,George Lwandamina,Levy Mwanawasa Stadium,1974-01-01 00:00:00,191184,Zambia,ZESCO United,#ffffff
CAF Champions League,CAF Champions League 18/19,Lobi Stars,Lobi Stars,lobi-stars,Lobi Stars,M,Football,Nigeria,Premier League,Eugene Agagbe,Abubakar Tafawa Balewa,1981-01-01 00:00:00,190731,Nigeria,Lobi Stars,#ffff00
CAF Champions League,CAF Champions League 18/19,ASEC Mimosas,ASEC Mimosas,asec-mimosas,Mimosas,M,Football,Ivory Coast,Ligue 1,Julien Chevalier,Stade Felix Houphouet-Boigny,1947-11-30 00:00:00,42360,Ivory Coast,ASEC Mimosas,#ffdf00
CAF Champions League,CAF Champions League 2018,Espérance Tunis,Espérance Tunis,esperance-tunis,Espérance,M,Football,Tunisia,Ligue 1,Tarek Thabet,Stade Hammadi Agrebi,1919-01-15 00:00:00,59628,Tunisia,Espérance Tunis,#ede664
CAF Champions League,CAF Champions League 2018,Kampala City,Kampala City,kampala-city,Kampala City,M,Football,Uganda,Premier League,,Lugogo Stadium,1963-04-24 00:00:00,134274,Uganda,Kampala City,#fae144
CAF Champions League,CAF Champions League 2018,Township Rollers FC,Township Rollers FC,township-rollers-fc,Township Rollers,M,Football,Botswana,Premier League,,,1960-11-30 00:00:00,277010,Botswana,Township Rollers FC,#fab416
CAF Champions League,CAF Champions League 2017,Etoile Sportive Du Sahel,Etoile Sportive Du Sahel,etoile-sportive-du-sahel,Étoile,M,Football,Tunisia,Ligue 1,Imed Ben Younes,Stade Olympique de Sousse,1925-05-11 00:00:00,35188,Tunisia,Etoile Sportive Du Sahel,#ff0000
CAF Champions League,CAF Champions League 2017,Ferroviário da Beira,Ferroviário da Beira,ferroviario-da-beira,Beira,M,Football,Mozambique,Moçambola,,Estadio do Ferroviario Indoor Hall,,246841,Mozambique,Ferroviário da Beira,#ffffff
CAF Champions League,CAF Champions League 2015,Moghreb Tétouan,Moghreb Tétouan,moghreb-tetouan,MA Tétouan,M,Football,Morocco,Botola,Mohammed Alaoui Ismaili,Stade Saniat Rmel,1922-01-01 00:00:00,55049,Morocco,Moghreb Tétouan,#ffffff
CAF Champions League,CAF Champions League 2015,Smouha,Smouha,smouha,Smouha,M,Football,Egypt,Premier League,Ahmed Samy,Alexandria Stadium,1948-11-30 00:00:00,43563,Egypt,Smouha,#020fc7
CAF Champions League,CAF Champions League 2013,Orlando Pirates,Orlando Pirates,orlando-pirates,Orlando Pirates,M,Football,South Africa,Premiership,Jose Riveiro,Orlando Stadium,1937-01-01 00:00:00,7668,South Africa,Orlando Pirates,#000000
CAF Champions League,CAF Champions League 2013,AC Leopards de Dolisie,AC Leopards de Dolisie,ac-leopards-de-dolisie,Leopards,M,Football,Congo Republic,Premier League,,,1952-11-30 00:00:00,90928,Congo Republic,AC Leopards de Dolisie,#00ac00
CAF Champions League,CAF Champions League 2012,Sunshine Stars,Sunshine Stars,sunshine-stars,Sunshine Stars,M,Football,Nigeria,Premier League,Edith Agoye,Akure Township Stadium,,42584,Nigeria,Sunshine Stars,#ff5f00
CAF Champions League,CAF Champions League 2012,ASO Chlef,ASO Chlef,aso-chlef,Chlef,M,Football,Algeria,Ligue 1,,Stade Mohamed Boumezrag,1947-07-13 00:00:00,42201,Algeria,ASO Chlef,#ffffff
World Championship,World Cup 2022,Netherlands,Netherlands,netherlands,Netherlands,M,Football,International,World Championship Qual. UEFA G,Ronald Koeman,Johan Cruijff ArenA,1889-12-08 00:00:00,4705,Netherlands,Netherlands,#ff6600
World Championship,World Cup 2022,Senegal,Senegal,senegal,Senegal,M,Football,World,"COSAFA Cup, Group B",Aliou Cissé,Stade Lat Dior,1959-11-30 00:00:00,4739,Senegal,Senegal,#ffffff
World Championship,World Cup 2022,Ecuador,Ecuador,ecuador,Ecuador,M,Football,World,"World Cup Qualification, CONMEBOL",Félix Sánchez,Olimpico Atahualpa,1925-05-30 00:00:00,4757,Ecuador,Ecuador,#ffff00
World Championship,World Cup 2022,Qatar,Qatar,qatar,Qatar,M,Football,World,"CONCACAF Gold Cup, Group D",Carlos Queiroz,,2016-09-04 00:00:00,4792,Qatar,Qatar,#660000
World Championship,World Cup 2018,Uruguay,Uruguay,uruguay,Uruguay,M,Football,World,"World Cup Qualification, CONMEBOL",Marcelo Bielsa,Estadio Centenario,1900-03-30 00:00:00,4725,Uruguay,Uruguay,#7eacfe
World Championship,World Cup 2018,Russia,Russia,russia,Russia,M,Football,International,World Championship Qual. UEFA H,Valeriy Karpin,Luzhniki Stadium,1912-01-19 00:00:00,4694,Russia,Russia,#e20000
World Championship,World Cup 2018,Saudi Arabia,Saudi Arabia,saudi-arabia,Saudi Arabia,M,Football,World,"World Championship Qual. AFC, R. 3, Gr. B",Roberto Mancini,King Fahd Stadium,1956-01-01 00:00:00,4834,Saudi Arabia,Saudi Arabia,#ffffff
World Championship,World Cup 2018,Egypt,Egypt,egypt,Egypt,M,Football,World,"Africa Cup of Nations, Qualification, Group G",Rui Vitoria,Cairo International Stadium,1921-12-03 00:00:00,4758,Egypt,Egypt,#f00000
World Championship,World Cup 2014,Brazil,Brazil,brazil,Brazil,M,Football,World,"World Cup Qualification, CONMEBOL",Fernando Diniz,,1914-08-20 00:00:00,4748,Brazil,Brazil,#ffff00
World Championship,World Cup 2014,Mexico,Mexico,mexico,Mexico,M,Football,World,"CONCACAF Gold Cup, Group A",Jaime Lozano,,1927-08-23 00:00:00,4781,Mexico,Mexico,#1a4d3e
World Championship,World Cup 2014,Croatia,Croatia,croatia,Croatia,M,Football,International,World Championship Qual. UEFA H,Zlatko Dalić,,1912-06-13 00:00:00,4715,Croatia,Croatia,#ff0000
World Championship,World Cup 2014,Cameroon,Cameroon,cameroon,Cameroon,M,Football,World,"African Nations Championship, Group A",Rigobert Song,Olembe Stadium,1950-10-21 00:00:00,4751,Cameroon,Cameroon,#006633
World Championship,World Cup 2010,South Africa,South Africa,south-africa,South Africa,M,Football,World,"COSAFA Cup, Group A",Hugo Broos,,1991-12-08 00:00:00,4736,South Africa,South Africa,#ffd800
World Championship,World Cup 2010,France,France,france,France,M,Football,International,World Championship Qual. UEFA D,Didier Deschamps,Stade de France,1904-05-01 00:00:00,4481,France,France,#01509e
World Championship,World Cup 2006,Germany,Germany,germany,Germany,M,Football,International,World Championship Qual. UEFA J,Julian Nagelsmann,,1900-01-28 00:00:00,4711,Germany,Germany,#ffffff
World Championship,World Cup 2006,Poland,Poland,poland,Poland,M,Football,International,World Championship Qual. UEFA I,Michal Probierz,,1919-12-20 00:00:00,4703,Poland,Poland,#ffffff
World Championship,World Cup 2006,Costa Rica,Costa Rica,costa-rica,Costa Rica,M,Football,World,"CONCACAF Gold Cup, Group C",Gustavo Alfaro,Estadio Nacional de Costa Rica,1921-06-13 00:00:00,4756,Costa Rica,Costa Rica,#ed1c24
World Championship,World Cup 2002,Denmark,Denmark,denmark,Denmark,M,Football,International,World Championship Qual. UEFA F,Kasper Hjulmand,Parken,1889-05-18 00:00:00,4476,Denmark,Denmark,#cc0000
World Championship,World Cup 1998,Norway,Norway,norway,Norway,M,Football,International,World Championship Qual. UEFA G,Ståle Solbakken,Ullevaal,1902-04-30 00:00:00,4475,Norway,Norway,#ef2b2d
World Championship,World Cup 1998,Morocco,Morocco,morocco,Morocco,M,Football,World,"African Nations Championship, Knockout stage",Walid Regragui,Stade Mohammed V,1955-01-01 00:00:00,4778,Morocco,Morocco,#ff0000
World Championship,World Cup 1998,Scotland,Scotland,scotland,Scotland,M,Football,International,World Championship Qual. UEFA F,Steve Clarke,,1873-03-13 00:00:00,4695,Scotland,Scotland,#00005e
World Championship,World Cup 1994,Romania,Romania,romania,Romania,M,Football,International,World Championship Qual. UEFA J,Edward Iordănescu,National Arena,1908-11-30 00:00:00,4477,Romania,Romania,#f7bd00
World Championship,World Cup 1994,Switzerland,Switzerland,switzerland,Switzerland,M,Football,International,World Championship Qual. UEFA C,Murat Yakin,,1895-04-07 00:00:00,4699,Switzerland,Switzerland,#ff0000
World Championship,World Cup 1994,USA,USA,usa,USA,M,Football,World,"CONCACAF Gold Cup, Group B",Gregg Berhalter,,1913-04-05 00:00:00,4724,USA,USA,#ffffff
World Championship,World Cup 1994,Colombia,Colombia,colombia,Colombia,M,Football,World,"World Cup Qualification, CONMEBOL",Nestor Lorenzo,,1924-10-12 00:00:00,4820,Colombia,Colombia,#ffd808
World Championship,World Cup 1990,Italy,Italy,italy,Italy,M,Football,International,World Championship Qual. UEFA C,Luciano Spalletti,,1898-03-15 00:00:00,4707,Italy,Italy,#0066ff
World Championship,World Cup 1990,Czechoslovakia,Czechoslovakia,czechoslovakia,Czechoslovakia,M,Football,International,"World Cup, Knockout stage",,,,290286,Czech Republic,Czechoslovakia,#cc0000
World Championship,World Cup 1990,Austria,Austria,austria,Austria,M,Football,International,World Championship Qual. UEFA F,Ralf Rangnick,Ernst Happel Stadion,1904-03-18 00:00:00,4718,Austria,Austria,#ff0000
World Championship,World Cup 1986,Argentina,Argentina,argentina,Argentina,M,Football,World,"World Cup Qualification, CONMEBOL",Lionel Scaloni,Estadio Mâs Monumental,1893-02-21 00:00:00,4819,Argentina,Argentina,#66ccff
World Championship,World Cup 1986,Bulgaria,Bulgaria,bulgaria,Bulgaria,M,Football,International,World Championship Qual. UEFA C,Ilian Iliev,Vasil Levski National Stadium,1923-01-01 00:00:00,4716,Bulgaria,Bulgaria,#ffffff
World Championship,World Cup 1986,South Korea,South Korea,south-korea,South Korea,M,Football,World,"World Championship Qual. AFC, R. 3, Gr. A",Jurgen Klinsmann,Seoul World Cup Stadium,1933-09-19 00:00:00,4735,South Korea,South Korea,#ff0000
World Championship,World Cup 1982,Peru,Peru,peru,Peru,M,Football,World,"World Cup Qualification, CONMEBOL",Juan Maximo Reynoso,Estadio Nacional,1922-08-23 00:00:00,4790,Peru,Peru,#ffffff
World Championship,World Cup 1978,Hungary,Hungary,hungary,Hungary,M,Football,International,World Championship Qual. UEFA I,Marco Rossi,Puskás Aréna,1901-01-19 00:00:00,4709,Hungary,Hungary,#c61e29
World Championship,World Cup 1974,East Germany,East Germany,east-germany,East Germany,M,Football,World,"World Championship, Gr. A",,,1950-06-03 00:00:00,290290,,East Germany,#ffffff
World Championship,World Cup 1974,West Germany,West Germany,west-germany,West Germany,M,Football,International,"World Cup, Knockout stage",,,,290288,Germany,West Germany,#ffffff
World Championship,World Cup 1974,Chile,Chile,chile,Chile,M,Football,World,"World Cup Qualification, CONMEBOL",Nicolas Andres Cordova,Nacional,1895-06-19 00:00:00,4754,Chile,Chile,#ff0000
World Championship,World Cup 1974,Australia,Australia,australia,Australia,M,Football,World,"World Championship Qual. AFC, R. 3, Gr. B",Graham Arnold,,1961-01-01 00:00:00,4741,Australia,Australia,#ffcc00
World Championship,World Cup 1970,USSR,USSR,ussr,USSR,M,Football,International,"World Cup, Knockout stage",,,1934-12-27 00:00:00,290289,,USSR,#cc0000
World Championship,World Cup 1970,Belgium,Belgium,belgium,Belgium,M,Football,International,World Championship Qual. UEFA E,Domenico Tedesco,Stade Roi Baudouin,1895-09-01 00:00:00,4717,Belgium,Belgium,#ff0033
World Championship,World Cup 1970,El Salvador,El Salvador,el-salvador,El Salvador,M,Football,World,"World Championship Qual. CONCACAF, R. 1, Gr.A",Rubén de la Barrera,Estadio Cuscatlan,1935-04-26 00:00:00,4825,El Salvador,El Salvador,#3300ff
World Championship,World Cup 1966,England,England,england,England,M,Football,International,World Championship Qual. UEFA I,Gareth Southgate,Wembley Stadium,1863-10-26 00:00:00,4713,England,England,#ffffff
World Championship,World Cup 1962,Yugoslavia,Yugoslavia,yugoslavia,Yugoslavia,M,Football,International,"European Championship, Knockout stage",,,,23498,,Yugoslavia,#e11302
World Championship,World Cup 1958,Northern Ireland,Northern Ireland,northern-ireland,Northern Ireland,M,Football,International,World Championship Qual. UEFA C,Michael O'Neill,,1880-11-18 00:00:00,4786,Northern Ireland,Northern Ireland,#1c9239
